# time  created  delivered  delivered/created
33.0000 1 0 0.0000
62.0000 2 0 0.0000
93.0000 3 0 0.0000
119.0000 4 0 0.0000
147.0000 5 0 0.0000
173.0000 6 0 0.0000
200.0000 7 0 0.0000
226.0000 8 0 0.0000
230.6000 8 1 0.1250
251.0000 9 1 0.1111
281.0000 10 1 0.1000
309.0000 11 1 0.0909
337.0000 12 1 0.0833
364.0000 13 1 0.0769
394.0000 14 1 0.0714
420.0000 15 1 0.0667
446.0000 16 1 0.0625
474.0000 17 1 0.0588
499.0000 18 1 0.0556
527.0000 19 1 0.0526
557.0000 20 1 0.0500
583.0000 21 1 0.0476
611.0000 22 1 0.0455
640.0000 23 1 0.0435
673.0000 24 1 0.0417
704.0000 25 1 0.0400
729.0000 26 1 0.0385
756.0000 27 1 0.0370
782.0000 28 1 0.0357
809.0000 29 1 0.0345
837.0000 30 1 0.0333
864.0000 31 1 0.0323
892.0000 32 1 0.0313
917.0000 33 1 0.0303
943.0000 34 1 0.0294
969.0000 35 1 0.0286
999.0000 36 1 0.0278
1024.0000 37 1 0.0270
1055.0000 38 1 0.0263
1080.0000 39 1 0.0256
1105.0000 40 1 0.0250
1133.0000 41 1 0.0244
1161.0000 42 1 0.0238
1195.0000 43 1 0.0233
1222.0000 44 1 0.0227
1249.0000 45 1 0.0222
1283.0000 46 1 0.0217
1316.0000 47 1 0.0213
1350.0000 48 1 0.0208
1377.0000 49 1 0.0204
1410.0000 50 1 0.0200
1440.0000 51 1 0.0196
1474.0000 52 1 0.0192
1501.0000 53 1 0.0189
1534.0000 54 1 0.0185
1560.0000 55 1 0.0182
1591.0000 56 1 0.0179
1620.0000 57 1 0.0175
1646.0000 58 1 0.0172
1678.0000 59 1 0.0169
1712.0000 60 1 0.0167
1738.0000 61 1 0.0164
1769.0000 62 1 0.0161
1800.0000 63 1 0.0159
1826.0000 64 1 0.0156
1852.0000 65 1 0.0154
1883.0000 66 1 0.0152
1908.0000 67 1 0.0149
1939.0000 68 1 0.0147
1966.0000 69 1 0.0145
1997.0000 70 1 0.0143
2027.0000 71 1 0.0141
2053.2000 71 2 0.0282
2059.0000 72 2 0.0278
2088.0000 73 2 0.0274
2118.0000 74 2 0.0270
2119.8000 74 3 0.0405
2146.0000 75 3 0.0400
2150.3000 75 4 0.0533
2171.0000 76 4 0.0526
2204.0000 77 4 0.0519
2230.0000 78 4 0.0513
2230.4000 78 5 0.0641
2257.0000 79 5 0.0633
2287.0000 80 5 0.0625
2316.0000 81 5 0.0617
2334.3000 81 6 0.0741
2346.0000 82 6 0.0732
2371.0000 83 6 0.0723
2405.0000 84 6 0.0714
2431.0000 85 6 0.0706
2459.0000 86 6 0.0698
2490.0000 87 6 0.0690
2522.0000 88 6 0.0682
2553.0000 89 6 0.0674
2582.0000 90 6 0.0667
2609.0000 91 6 0.0659
2636.0000 92 6 0.0652
2666.0000 93 6 0.0645
2693.0000 94 6 0.0638
2721.0000 95 6 0.0632
2734.2000 95 7 0.0737
2755.0000 96 7 0.0729
