# messageDelay  cumulativeProbability
101.5000 0.0007
157.0000 0.0014
179.9000 0.0020
213.8000 0.0027
303.2000 0.0034
333.8000 0.0041
363.1000 0.0048
436.9000 0.0055
452.6000 0.0061
465.1000 0.0068
506.3000 0.0075
511.0000 0.0082
515.6000 0.0089
517.4000 0.0096
524.1000 0.0102
531.3000 0.0109
559.6000 0.0116
606.8000 0.0123
609.9000 0.0130
618.8000 0.0137
668.8000 0.0143
697.4000 0.0150
753.8000 0.0157
759.6000 0.0164
768.5000 0.0171
783.9000 0.0178
789.2000 0.0184
794.1000 0.0191
858.6000 0.0198
899.8000 0.0205
915.2000 0.0212
1005.0000 0.0219
1007.6000 0.0225
1028.4000 0.0232
1043.3000 0.0239
1045.7000 0.0246
1054.6000 0.0253
1056.4000 0.0260
1073.6000 0.0266
1074.1000 0.0273
1129.7000 0.0280
1174.7000 0.0287
1200.4000 0.0294
1205.1000 0.0301
1225.5000 0.0307
1257.8000 0.0314
1264.5000 0.0321
1271.3000 0.0328
1282.4000 0.0335
1289.0000 0.0342
1296.7000 0.0348
1313.0000 0.0355
1316.2000 0.0362
1363.3000 0.0369
1373.0000 0.0376
1429.1000 0.0383
1454.0000 0.0389
1457.4000 0.0396
1515.0000 0.0403
1517.2000 0.0410
1518.3000 0.0417
1519.3000 0.0423
1525.6000 0.0430
1539.9000 0.0437
1562.3000 0.0444
1574.6000 0.0451
1610.8000 0.0458
1612.2000 0.0464
1618.9000 0.0471
1661.3000 0.0478
1689.4000 0.0485
1699.2000 0.0492
1710.7000 0.0499
1733.6000 0.0505
1751.2000 0.0512
1754.6000 0.0519
1780.2000 0.0526
1806.5000 0.0533
1815.0000 0.0540
1816.5000 0.0546
1854.1000 0.0553
1864.7000 0.0560
1868.3000 0.0567
1894.2000 0.0574
1898.6000 0.0581
1920.2000 0.0587
1943.3000 0.0594
1949.0000 0.0601
1964.1000 0.0608
1969.4000 0.0615
1992.9000 0.0622
2013.8000 0.0628
2034.7000 0.0635
2038.4000 0.0642
2054.3000 0.0649
2057.6000 0.0656
2083.8000 0.0663
2097.9000 0.0669
2099.3000 0.0676
2111.3000 0.0683
2163.4000 0.0690
2171.3000 0.0697
2242.2000 0.0704
2248.1000 0.0710
2248.6000 0.0717
2252.0000 0.0724
2267.1000 0.0731
2324.6000 0.0738
2330.9000 0.0745
2339.8000 0.0751
2340.4000 0.0758
2340.5000 0.0765
2372.0000 0.0772
2395.1000 0.0779
2399.8000 0.0786
2412.4000 0.0792
2430.2000 0.0799
2437.7000 0.0806
2441.7000 0.0813
2442.0000 0.0820
2445.6000 0.0827
2452.8000 0.0833
2454.0000 0.0840
2522.2000 0.0847
2550.4000 0.0854
2559.9000 0.0861
2578.3000 0.0867
2582.6000 0.0874
2584.2000 0.0881
2590.7000 0.0888
2616.5000 0.0895
2623.5000 0.0902
2624.7000 0.0908
2650.8000 0.0915
2696.5000 0.0922
2714.0000 0.0929
2742.7000 0.0936
2762.0000 0.0943
2764.1000 0.0949
2769.8000 0.0956
2774.3000 0.0963
2808.3000 0.0970
2810.1000 0.0977
2844.2000 0.0984
2849.0000 0.0990
2874.9000 0.0997
2883.1000 0.1004
2915.1000 0.1011
2932.0000 0.1018
2934.2000 0.1025
2947.0000 0.1031
2954.5000 0.1038
2956.8000 0.1045
3014.3000 0.1052
3018.4000 0.1059
3019.0000 0.1066
3023.6000 0.1072
3052.1000 0.1079
3052.3000 0.1086
3052.5000 0.1093
3064.7000 0.1100
3078.0000 0.1107
3088.2000 0.1113
3143.8000 0.1120
3146.5000 0.1127
3157.6000 0.1134
3159.7000 0.1141
3173.9000 0.1148
3183.7000 0.1154
3193.2000 0.1161
3209.7000 0.1168
3225.6000 0.1175
3240.0000 0.1182
3267.1000 0.1189
3276.3000 0.1195
3293.4000 0.1202
3325.4000 0.1209
3327.4000 0.1216
3328.6000 0.1223
3338.7000 0.1230
3349.4000 0.1236
3360.2000 0.1243
3364.7000 0.1250
3374.5000 0.1257
3377.2000 0.1264
3391.5000 0.1270
3392.8000 0.1277
3406.5000 0.1284
3417.9000 0.1291
3424.6000 0.1298
3470.5000 0.1305
3477.7000 0.1311
3515.6000 0.1318
3516.0000 0.1325
3530.1000 0.1332
3538.7000 0.1339
3542.1000 0.1346
3544.1000 0.1352
3545.9000 0.1359
3573.0000 0.1366
3575.7000 0.1373
3590.0000 0.1380
3602.3000 0.1387
3633.5000 0.1393
3673.1000 0.1400
3688.9000 0.1407
3704.9000 0.1414
3716.0000 0.1421
3728.1000 0.1428
3734.4000 0.1434
3752.8000 0.1441
3757.6000 0.1448
3773.0000 0.1455
3805.3000 0.1462
3808.2000 0.1469
3812.0000 0.1475
3827.1000 0.1482
3863.4000 0.1489
3892.2000 0.1496
3893.7000 0.1503
3895.2000 0.1510
3905.5000 0.1516
3907.7000 0.1523
3920.8000 0.1530
3921.3000 0.1537
3924.7000 0.1544
3944.4000 0.1551
3952.5000 0.1557
3958.2000 0.1564
3959.3000 0.1571
3962.0000 0.1578
3964.3000 0.1585
3964.4000 0.1592
3987.8000 0.1598
3996.9000 0.1605
4001.7000 0.1612
4032.3000 0.1619
4042.6000 0.1626
4051.3000 0.1633
4059.6000 0.1639
4062.2000 0.1646
4062.8000 0.1653
4072.6000 0.1660
4089.0000 0.1667
4104.9000 0.1673
4107.3000 0.1680
4112.6000 0.1687
4137.7000 0.1694
4169.4000 0.1701
4182.6000 0.1708
4212.4000 0.1714
4214.4000 0.1721
4226.0000 0.1728
4227.3000 0.1735
4232.6000 0.1742
4234.1000 0.1749
4249.8000 0.1755
4251.1000 0.1762
4253.2000 0.1769
4345.9000 0.1776
4356.1000 0.1783
4363.1000 0.1790
4445.1000 0.1796
4446.5000 0.1803
4450.4000 0.1810
4458.9000 0.1817
4473.9000 0.1824
4477.8000 0.1831
4501.7000 0.1837
4510.8000 0.1844
4520.6000 0.1851
4538.2000 0.1858
4547.0000 0.1865
4552.7000 0.1872
4564.9000 0.1878
4585.6000 0.1885
4589.2000 0.1892
4593.7000 0.1899
4621.9000 0.1906
4648.9000 0.1913
4662.2000 0.1919
4683.5000 0.1926
4686.7000 0.1933
4702.0000 0.1940
4705.2000 0.1947
4708.6000 0.1954
4729.6000 0.1960
4729.9000 0.1967
4734.6000 0.1974
4783.9000 0.1981
4786.5000 0.1988
4795.0000 0.1995
4797.3000 0.2001
4802.2000 0.2008
4814.6000 0.2015
