# time  created  delivered  delivered/created
33.0000 1 0 0.0000
62.0000 2 0 0.0000
93.0000 3 0 0.0000
119.0000 4 0 0.0000
147.0000 5 0 0.0000
173.0000 6 0 0.0000
200.0000 7 0 0.0000
226.0000 8 0 0.0000
251.0000 9 0 0.0000
281.0000 10 0 0.0000
309.0000 11 0 0.0000
337.0000 12 0 0.0000
364.0000 13 0 0.0000
394.0000 14 0 0.0000
420.0000 15 0 0.0000
446.0000 16 0 0.0000
474.0000 17 0 0.0000
499.0000 18 0 0.0000
527.0000 19 0 0.0000
557.0000 20 0 0.0000
583.0000 21 0 0.0000
611.0000 22 0 0.0000
640.0000 23 0 0.0000
673.0000 24 0 0.0000
704.0000 25 0 0.0000
729.0000 26 0 0.0000
756.0000 27 0 0.0000
779.8000 27 1 0.0370
782.0000 28 1 0.0357
809.0000 29 1 0.0345
837.0000 30 1 0.0333
864.0000 31 1 0.0323
892.0000 32 1 0.0313
917.0000 33 1 0.0303
943.0000 34 1 0.0294
969.0000 35 1 0.0286
999.0000 36 1 0.0278
1024.0000 37 1 0.0270
1055.0000 38 1 0.0263
1080.0000 39 1 0.0256
1105.0000 40 1 0.0250
1133.0000 41 1 0.0244
1161.0000 42 1 0.0238
1195.0000 43 1 0.0233
1222.0000 44 1 0.0227
1235.2000 44 2 0.0455
1249.0000 45 2 0.0444
1283.0000 46 2 0.0435
1316.0000 47 2 0.0426
1350.0000 48 2 0.0417
1377.0000 49 2 0.0408
1410.0000 50 2 0.0400
1440.0000 51 2 0.0392
1474.0000 52 2 0.0385
1501.0000 53 2 0.0377
1534.0000 54 2 0.0370
1560.0000 55 2 0.0364
1589.4000 55 3 0.0545
1591.0000 56 3 0.0536
1620.0000 57 3 0.0526
1646.0000 58 3 0.0517
1678.0000 59 3 0.0508
1712.0000 60 3 0.0500
1738.0000 61 3 0.0492
1769.0000 62 3 0.0484
1800.0000 63 3 0.0476
1826.0000 64 3 0.0469
1852.0000 65 3 0.0462
1883.0000 66 3 0.0455
1908.0000 67 3 0.0448
1939.0000 68 3 0.0441
1966.0000 69 3 0.0435
1997.0000 70 3 0.0429
2002.4000 70 4 0.0571
2027.0000 71 4 0.0563
2059.0000 72 4 0.0556
2068.0000 72 5 0.0694
2088.0000 73 5 0.0685
2118.0000 74 5 0.0676
2145.7000 74 6 0.0811
2146.0000 75 6 0.0800
2171.0000 76 6 0.0789
2204.0000 77 6 0.0779
2230.0000 78 6 0.0769
2257.0000 79 6 0.0759
2287.0000 80 6 0.0750
2316.0000 81 6 0.0741
2346.0000 82 6 0.0732
2371.0000 83 6 0.0723
2371.7000 83 7 0.0843
2405.0000 84 7 0.0833
2431.0000 85 7 0.0824
2459.0000 86 7 0.0814
2490.0000 87 7 0.0805
2490.8000 87 8 0.0920
2522.0000 88 8 0.0909
2553.0000 89 8 0.0899
2582.0000 90 8 0.0889
2609.0000 91 8 0.0879
2636.0000 92 8 0.0870
2666.0000 93 8 0.0860
2693.0000 94 8 0.0851
2721.0000 95 8 0.0842
