# time  created  delivered  delivered/created
147.0000 1 0 0.0000
527.0000 2 0 0.0000
583.0000 3 0 0.0000
1055.0000 4 0 0.0000
1283.0000 5 0 0.0000
1534.0000 6 0 0.0000
2257.0000 7 0 0.0000
2371.0000 8 0 0.0000
2693.0000 9 0 0.0000
2880.0000 10 0 0.0000
2930.6000 10 1 0.1000
3285.2000 10 2 0.2000
3522.0000 11 2 0.1818
3875.0000 12 2 0.1667
3935.0000 13 2 0.1538
4619.0000 14 2 0.1429
4761.0000 15 2 0.1333
5020.0000 16 2 0.1250
5134.0000 17 2 0.1176
5185.0000 18 2 0.1111
5245.0000 19 2 0.1053
6021.0000 20 2 0.1000
6352.0000 21 2 0.0952
6436.0000 22 2 0.0909
6651.0000 23 2 0.0870
7114.0000 24 2 0.0833
7199.0000 25 2 0.0800
7361.7000 25 3 0.1200
7538.0000 26 3 0.1154
7569.0000 27 3 0.1111
7823.3000 27 4 0.1481
8194.0000 28 4 0.1429
8515.0000 29 4 0.1379
8547.0000 30 4 0.1333
9461.0000 31 4 0.1290
9547.0000 32 4 0.1250
9650.4000 32 5 0.1563
10863.0000 33 5 0.1515
10897.0000 34 5 0.1471
11613.0000 35 5 0.1429
11914.0000 36 5 0.1389
12040.0000 37 5 0.1351
12969.6000 37 6 0.1622
13273.0000 38 6 0.1579
13512.0000 39 6 0.1538
13576.0000 40 6 0.1500
13593.8000 40 7 0.1750
13816.0000 41 7 0.1707
13849.0000 42 7 0.1667
14063.0000 43 7 0.1628
14118.8000 43 8 0.1860
14236.8000 43 9 0.2093
14468.5000 43 10 0.2326
14633.0000 44 10 0.2273
15284.0000 45 10 0.2222
15318.0000 46 10 0.2174
15584.7000 46 11 0.2391
16048.0000 47 11 0.2340
16076.0000 48 11 0.2292
16547.0000 49 11 0.2245
16833.0000 50 11 0.2200
17290.0000 51 11 0.2157
17548.7000 51 12 0.2353
17624.6000 51 13 0.2549
17674.6000 51 14 0.2745
18298.6000 51 15 0.2941
18717.0000 52 15 0.2885
18972.1000 52 16 0.3077
18987.0000 53 16 0.3019
19080.1000 53 17 0.3208
19133.0000 54 17 0.3148
19411.3000 54 18 0.3333
19959.0000 55 18 0.3273
20206.0000 56 18 0.3214
20679.0000 57 18 0.3158
20705.0000 58 18 0.3103
20944.6000 58 19 0.3276
21084.0000 58 20 0.3448
21556.0000 59 20 0.3390
21587.2000 59 21 0.3559
22321.6000 59 22 0.3729
22339.0000 60 22 0.3667
22431.0000 61 22 0.3607
22491.0000 62 22 0.3548
22801.3000 62 23 0.3710
23097.2000 62 24 0.3871
23636.3000 62 25 0.4032
23743.7000 62 26 0.4194
23826.8000 62 27 0.4355
24128.8000 62 28 0.4516
24130.2000 62 29 0.4677
24192.7000 62 30 0.4839
24527.0000 63 30 0.4762
24642.0000 64 30 0.4688
24851.0000 65 30 0.4615
24971.0000 66 30 0.4545
25106.0000 67 30 0.4478
25313.9000 67 31 0.4627
25460.0000 68 31 0.4559
25641.0000 69 31 0.4493
26222.4000 69 32 0.4638
26326.0000 70 32 0.4571
26480.0000 71 32 0.4507
26630.0000 72 32 0.4444
26687.0000 73 32 0.4384
26721.0000 74 32 0.4324
26901.0000 75 32 0.4267
26931.0000 76 32 0.4211
26961.0000 77 32 0.4156
27035.3000 77 33 0.4286
27055.0000 78 33 0.4231
27154.7000 78 34 0.4359
27226.9000 78 35 0.4487
27583.0000 79 35 0.4430
27615.7000 79 36 0.4557
27936.8000 79 37 0.4684
28225.0000 80 37 0.4625
28570.0000 80 38 0.4750
28619.3000 80 39 0.4875
28672.0000 81 39 0.4815
28788.0000 82 39 0.4756
28998.7000 82 40 0.4878
29084.0000 83 40 0.4819
29235.0000 84 40 0.4762
29245.4000 84 41 0.4881
29361.2000 84 42 0.5000
29565.0000 85 42 0.4941
29656.0000 86 42 0.4884
29895.0000 87 42 0.4828
30010.0000 88 42 0.4773
30330.0000 89 42 0.4719
30839.0000 90 42 0.4667
30849.7000 90 43 0.4778
30890.5000 90 44 0.4889
31101.0000 91 44 0.4835
31911.0000 92 44 0.4783
32191.0000 93 44 0.4731
32513.0000 93 45 0.4839
32861.6000 93 46 0.4946
33017.0000 94 46 0.4894
33080.0000 95 46 0.4842
33227.0000 96 46 0.4792
33549.7000 96 47 0.4896
33645.0000 97 47 0.4845
34036.8000 97 48 0.4948
34085.2000 97 49 0.5052
34320.0000 98 49 0.5000
34725.2000 98 50 0.5102
34784.0000 99 50 0.5051
34813.0000 100 50 0.5000
35001.0000 101 50 0.4950
35086.0000 102 50 0.4902
35646.1000 102 51 0.5000
36234.0000 103 51 0.4951
37332.0000 104 51 0.4904
37709.0000 105 51 0.4857
37976.1000 105 52 0.4952
38046.6000 105 53 0.5048
38198.6000 105 54 0.5143
38208.6000 105 55 0.5238
38612.0000 106 55 0.5189
38637.0000 107 55 0.5140
38808.0000 108 55 0.5093
38863.9000 108 56 0.5185
38892.0000 109 56 0.5138
38964.4000 109 57 0.5229
39564.0000 110 57 0.5182
39912.9000 110 58 0.5273
40313.0000 111 58 0.5225
40371.0000 112 58 0.5179
41068.7000 112 59 0.5268
41169.0000 113 59 0.5221
41891.6000 113 60 0.5310
42212.0000 114 60 0.5263
42518.4000 114 61 0.5351
42756.0000 115 61 0.5304
42842.4000 115 62 0.5391
42897.0000 116 62 0.5345
43038.7000 116 63 0.5431
43115.5000 116 64 0.5517
