# messageDelay  cumulativeProbability
2.9000 0.0007
10.3000 0.0014
24.9000 0.0020
37.0000 0.0027
46.1000 0.0034
83.6000 0.0041
103.5000 0.0048
106.9000 0.0055
131.5000 0.0061
133.4000 0.0068
151.4000 0.0075
168.7000 0.0082
183.6000 0.0089
236.1000 0.0096
238.5000 0.0102
242.6000 0.0109
245.6000 0.0116
257.8000 0.0123
288.0000 0.0130
319.0000 0.0137
327.9000 0.0143
357.0000 0.0150
371.2000 0.0157
395.5000 0.0164
419.7000 0.0171
443.5000 0.0178
445.4000 0.0184
482.4000 0.0191
497.6000 0.0198
499.8000 0.0205
504.3000 0.0212
507.4000 0.0219
518.7000 0.0225
535.8000 0.0232
567.8000 0.0239
568.4000 0.0246
640.9000 0.0253
693.7000 0.0260
704.8000 0.0266
769.3000 0.0273
815.4000 0.0280
845.8000 0.0287
888.4000 0.0294
898.5000 0.0301
944.6000 0.0307
951.3000 0.0314
953.4000 0.0321
961.7000 0.0328
982.8000 0.0335
1009.1000 0.0342
1039.4000 0.0348
1083.4000 0.0355
1104.6000 0.0362
1130.7000 0.0369
1132.4000 0.0376
1135.2000 0.0383
1179.9000 0.0389
1193.4000 0.0396
1263.1000 0.0403
1277.9000 0.0410
1279.1000 0.0417
1326.0000 0.0423
1336.3000 0.0430
1366.0000 0.0437
1414.9000 0.0444
1437.5000 0.0451
1473.7000 0.0458
1497.3000 0.0464
1540.9000 0.0471
1566.2000 0.0478
1570.1000 0.0485
1594.5000 0.0492
1597.5000 0.0499
1614.3000 0.0505
1614.7000 0.0512
1665.7000 0.0519
1668.0000 0.0526
1701.0000 0.0533
1707.4000 0.0540
1719.6000 0.0546
1746.7000 0.0553
1750.4000 0.0560
1755.8000 0.0567
1779.8000 0.0574
1835.3000 0.0581
1851.2000 0.0587
1857.6000 0.0594
1860.7000 0.0601
1868.3000 0.0608
1872.7000 0.0615
1879.7000 0.0622
1900.3000 0.0628
1911.1000 0.0635
1921.4000 0.0642
1957.0000 0.0649
1965.7000 0.0656
1967.5000 0.0663
1973.2000 0.0669
1992.7000 0.0676
1996.9000 0.0683
1999.4000 0.0690
2008.7000 0.0697
