# time  created  delivered  delivered/created
147.0000 1 0 0.0000
230.6000 1 1 1.0000
527.0000 2 1 0.5000
583.0000 3 1 0.3333
1055.0000 4 1 0.2500
1283.0000 5 1 0.2000
1534.0000 6 1 0.1667
2257.0000 7 1 0.1429
2371.0000 8 1 0.1250
2693.0000 9 1 0.1111
2775.7000 9 2 0.2222
2880.0000 10 2 0.2000
3522.0000 11 2 0.1818
3725.8000 11 3 0.2727
3875.0000 12 3 0.2500
3899.9000 12 4 0.3333
3935.0000 13 4 0.3077
4619.0000 14 4 0.2857
4761.0000 15 4 0.2667
5014.5000 15 5 0.3333
5020.0000 16 5 0.3125
5134.0000 17 5 0.2941
5185.0000 18 5 0.2778
5245.0000 19 5 0.2632
6021.0000 20 5 0.2500
6352.0000 21 5 0.2381
6436.0000 22 5 0.2273
6520.7000 22 6 0.2727
6651.0000 23 6 0.2609
7114.0000 24 6 0.2500
7199.0000 25 6 0.2400
7538.0000 26 6 0.2308
7569.0000 27 6 0.2222
8194.0000 28 6 0.2143
8499.7000 28 7 0.2500
8515.0000 29 7 0.2414
8547.0000 30 7 0.2333
9357.7000 30 8 0.2667
9461.0000 31 8 0.2581
9547.0000 32 8 0.2500
9630.0000 32 9 0.2813
10713.8000 32 10 0.3125
10824.8000 32 11 0.3438
10863.0000 33 11 0.3333
10897.0000 34 11 0.3235
11451.7000 34 12 0.3529
11568.2000 34 13 0.3824
11613.0000 35 13 0.3714
11914.0000 36 13 0.3611
12040.0000 37 13 0.3514
13273.0000 38 13 0.3421
13454.9000 38 14 0.3684
13512.0000 39 14 0.3590
13576.0000 40 14 0.3500
13816.0000 41 14 0.3415
13849.0000 42 14 0.3333
14063.0000 43 14 0.3256
14633.0000 44 14 0.3182
14957.3000 44 15 0.3409
15284.0000 45 15 0.3333
15318.0000 46 15 0.3261
15573.5000 46 16 0.3478
16048.0000 47 16 0.3404
16076.0000 48 16 0.3333
16547.0000 49 16 0.3265
16810.7000 49 17 0.3469
16833.0000 50 17 0.3400
17160.9000 50 18 0.3600
17290.0000 51 18 0.3529
17390.5000 51 19 0.3725
18717.0000 52 19 0.3654
18987.0000 53 19 0.3585
19058.9000 53 20 0.3774
19133.0000 54 20 0.3704
19959.0000 55 20 0.3636
20206.0000 56 20 0.3571
20442.1000 56 21 0.3750
20679.0000 57 21 0.3684
20705.0000 58 21 0.3621
21556.0000 59 21 0.3559
21566.3000 59 22 0.3729
21648.2000 59 23 0.3898
22339.0000 60 23 0.3833
22431.0000 61 23 0.3770
22491.0000 62 23 0.3710
22660.4000 62 24 0.3871
22757.1000 62 25 0.4032
24527.0000 63 25 0.3968
24642.0000 64 25 0.3906
24851.0000 65 25 0.3846
24971.0000 66 25 0.3788
25106.0000 67 25 0.3731
25122.4000 67 26 0.3881
25460.0000 68 26 0.3824
25477.2000 68 27 0.3971
25641.0000 69 27 0.3913
26326.0000 70 27 0.3857
26480.0000 71 27 0.3803
26630.0000 72 27 0.3750
26687.0000 73 27 0.3699
26721.0000 74 27 0.3649
26893.8000 74 28 0.3784
26901.0000 75 28 0.3733
26931.0000 76 28 0.3684
26961.0000 77 28 0.3636
27055.0000 78 28 0.3590
27203.6000 78 29 0.3718
27583.0000 79 29 0.3671
27681.5000 79 30 0.3797
27994.5000 79 31 0.3924
28222.5000 79 32 0.4051
28225.0000 80 32 0.4000
28381.0000 80 33 0.4125
28672.0000 81 33 0.4074
28788.0000 82 33 0.4024
29084.0000 83 33 0.3976
29115.5000 83 34 0.4096
29235.0000 84 34 0.4048
29434.0000 84 35 0.4167
29565.0000 85 35 0.4118
29656.0000 86 35 0.4070
29895.0000 87 35 0.4023
30010.0000 88 35 0.3977
30330.0000 89 35 0.3933
30374.4000 89 36 0.4045
30839.0000 90 36 0.4000
31101.0000 91 36 0.3956
31147.1000 91 37 0.4066
31645.9000 91 38 0.4176
31804.1000 91 39 0.4286
31911.0000 92 39 0.4239
32191.0000 93 39 0.4194
32815.4000 93 40 0.4301
33017.0000 94 40 0.4255
33080.0000 95 40 0.4211
33227.0000 96 40 0.4167
33486.7000 96 41 0.4271
33645.0000 97 41 0.4227
34320.0000 98 41 0.4184
34605.3000 98 42 0.4286
34784.0000 99 42 0.4242
34813.0000 100 42 0.4200
35001.0000 101 42 0.4158
35086.0000 102 42 0.4118
35313.0000 102 43 0.4216
35331.6000 102 44 0.4314
36234.0000 103 44 0.4272
37332.0000 104 44 0.4231
37709.0000 105 44 0.4190
38191.8000 105 45 0.4286
38612.0000 106 45 0.4245
38637.0000 107 45 0.4206
38808.0000 108 45 0.4167
38892.0000 109 45 0.4128
39564.0000 110 45 0.4091
39638.1000 110 46 0.4182
40313.0000 111 46 0.4144
40371.0000 112 46 0.4107
41169.0000 113 46 0.4071
41776.8000 113 47 0.4159
42212.0000 114 47 0.4123
42756.0000 115 47 0.4087
42897.0000 116 47 0.4052
