# time  created  delivered  delivered/created
226.0000 1 0 0.0000
420.0000 2 0 0.0000
782.0000 3 0 0.0000
1620.0000 4 0 0.0000
1852.0000 5 0 0.0000
2459.0000 6 0 0.0000
2490.0000 7 0 0.0000
2842.5000 7 1 0.1429
3240.0000 8 1 0.1250
3325.0000 9 1 0.1111
3417.0000 10 1 0.1000
3469.0000 11 1 0.0909
3632.3000 11 2 0.1818
3793.8000 11 3 0.2727
4559.0000 12 3 0.2500
5163.0000 13 3 0.2308
5254.0000 14 3 0.2143
5465.0000 15 3 0.2000
5529.9000 15 4 0.2667
6110.0000 16 4 0.2500
6197.2000 16 5 0.3125
6320.0000 17 5 0.2941
6456.0000 18 5 0.2778
7293.1000 18 6 0.3333
7313.0000 19 6 0.3158
7404.0000 20 6 0.3000
8500.0000 21 6 0.2857
8654.0000 22 6 0.2727
8683.0000 23 6 0.2609
8886.0000 24 6 0.2500
9090.0000 25 6 0.2400
9274.4000 25 7 0.2800
9613.0000 26 7 0.2692
9642.0000 27 7 0.2593
9980.0000 28 7 0.2500
10274.8000 28 8 0.2857
10606.0000 29 8 0.2759
10638.0000 30 8 0.2667
10695.0000 31 8 0.2581
11761.0000 32 8 0.2500
12037.0000 33 8 0.2424
12187.0000 34 8 0.2353
12630.0000 35 8 0.2286
12807.0000 36 8 0.2222
13053.0000 37 8 0.2162
13062.7000 37 9 0.2432
13440.0000 38 9 0.2368
13522.0000 39 9 0.2308
14218.0000 40 9 0.2250
14514.0000 41 9 0.2195
14891.0000 42 9 0.2143
15192.0000 43 9 0.2093
15280.0000 44 9 0.2045
15433.0000 45 9 0.2000
16021.0000 46 9 0.1957
16097.0000 47 9 0.1915
16358.0000 48 9 0.1875
16420.0000 49 9 0.1837
16423.7000 49 10 0.2041
16500.3000 49 11 0.2245
17160.0000 50 11 0.2200
17223.0000 51 11 0.2157
17333.5000 51 12 0.2353
17400.0000 52 12 0.2308
17489.3000 52 13 0.2500
18313.0000 53 13 0.2453
18684.0000 54 13 0.2407
18766.0000 55 13 0.2364
19071.0000 56 13 0.2321
19361.0000 56 14 0.2500
19643.0000 57 14 0.2456
20513.3000 57 15 0.2632
20654.6000 57 16 0.2807
20690.0000 58 16 0.2759
20844.2000 58 17 0.2931
20969.0000 59 17 0.2881
21147.0000 60 17 0.2833
21206.0000 61 17 0.2787
21370.9000 61 18 0.2951
21521.1000 61 19 0.3115
21526.0000 62 19 0.3065
21729.0000 63 19 0.3016
21818.0000 64 19 0.2969
21993.0000 65 19 0.2923
22105.0000 66 19 0.2879
22285.0000 66 20 0.3030
22535.0000 67 20 0.2985
22798.0000 68 20 0.2941
22805.0000 68 21 0.3088
23054.8000 68 22 0.3235
23114.5000 68 23 0.3382
23763.0000 69 23 0.3333
24274.0000 70 23 0.3286
24304.0000 71 23 0.3239
24485.0000 72 23 0.3194
24605.0000 73 23 0.3151
24635.0000 74 23 0.3108
25163.0000 75 23 0.3067
25363.5000 75 24 0.3200
26034.0000 76 24 0.3158
26328.0000 77 24 0.3117
26456.0000 78 24 0.3077
26665.7000 78 25 0.3205
26909.2000 78 26 0.3333
27039.0000 79 26 0.3291
27489.0000 80 26 0.3250
27605.0000 81 26 0.3210
27655.5000 81 27 0.3333
27775.0000 82 27 0.3293
27878.8000 82 28 0.3415
28501.0000 83 28 0.3373
28834.0000 84 28 0.3333
28993.6000 84 29 0.3452
29119.0000 85 29 0.3412
29199.7000 85 30 0.3529
30577.0000 86 30 0.3488
31130.1000 86 31 0.3605
31244.2000 86 32 0.3721
31322.0000 87 32 0.3678
31657.8000 87 33 0.3793
31903.0000 88 33 0.3750
32077.0000 89 33 0.3708
32093.4000 89 34 0.3820
32803.0000 90 34 0.3778
33131.0000 91 34 0.3736
33188.5000 91 35 0.3846
33494.0000 92 35 0.3804
33607.0000 93 35 0.3763
34217.2000 93 36 0.3871
34360.0000 94 36 0.3830
35129.0000 95 36 0.3789
35145.7000 95 37 0.3895
35501.5000 95 38 0.4000
35675.0000 96 38 0.3958
36110.0000 97 38 0.3918
36161.6000 97 39 0.4021
36666.4000 97 40 0.4124
36891.0000 98 40 0.4082
37405.0000 99 40 0.4040
37530.3000 99 41 0.4141
37701.0000 100 41 0.4100
37871.7000 100 42 0.4200
37898.0000 101 42 0.4158
38041.0000 102 42 0.4118
38358.0000 103 42 0.4078
38494.6000 103 43 0.4175
38940.0000 104 43 0.4135
40054.6000 104 44 0.4231
40290.2000 104 45 0.4327
41632.0000 105 45 0.4286
41841.4000 105 46 0.4381
41969.7000 105 47 0.4476
41972.9000 105 48 0.4571
42040.0000 106 48 0.4528
42345.0000 107 48 0.4486
42374.0000 108 48 0.4444
43011.0000 109 48 0.4404
43041.0000 110 48 0.4364
43150.1000 110 49 0.4455
43167.9000 110 50 0.4545
