# time  created  delivered  delivered/created
33.0000 1 0 0.0000
62.0000 2 0 0.0000
93.0000 3 0 0.0000
119.0000 4 0 0.0000
147.0000 5 0 0.0000
173.0000 6 0 0.0000
200.0000 7 0 0.0000
226.0000 8 0 0.0000
251.0000 9 0 0.0000
281.0000 10 0 0.0000
309.0000 11 0 0.0000
337.0000 12 0 0.0000
364.0000 13 0 0.0000
394.0000 14 0 0.0000
420.0000 15 0 0.0000
446.0000 16 0 0.0000
474.0000 17 0 0.0000
499.0000 18 0 0.0000
527.0000 19 0 0.0000
541.7000 19 1 0.0526
557.0000 20 1 0.0500
583.0000 21 1 0.0476
611.0000 22 1 0.0455
640.0000 23 1 0.0435
673.0000 24 1 0.0417
704.0000 25 1 0.0400
729.0000 26 1 0.0385
756.0000 27 1 0.0370
782.0000 28 1 0.0357
809.0000 29 1 0.0345
837.0000 30 1 0.0333
864.0000 31 1 0.0323
892.0000 32 1 0.0313
917.0000 33 1 0.0303
943.0000 34 1 0.0294
969.0000 35 1 0.0286
999.0000 36 1 0.0278
1024.0000 37 1 0.0270
1055.0000 38 1 0.0263
1080.0000 39 1 0.0256
1105.0000 40 1 0.0250
1133.0000 41 1 0.0244
1161.0000 42 1 0.0238
1195.0000 43 1 0.0233
1222.0000 44 1 0.0227
1249.0000 45 1 0.0222
1279.3000 45 2 0.0444
1283.0000 46 2 0.0435
1316.0000 47 2 0.0426
1350.0000 48 2 0.0417
1377.0000 49 2 0.0408
1410.0000 50 2 0.0400
1440.0000 51 2 0.0392
1474.0000 52 2 0.0385
1501.0000 53 2 0.0377
1534.0000 54 2 0.0370
1552.7000 54 3 0.0556
1560.0000 55 3 0.0545
1591.0000 56 3 0.0536
1591.6000 56 4 0.0714
1620.0000 57 4 0.0702
1630.9000 57 5 0.0877
1646.0000 58 5 0.0862
1674.7000 58 6 0.1034
1678.0000 59 6 0.1017
1691.6000 59 7 0.1186
1712.0000 60 7 0.1167
1738.0000 61 7 0.1148
1769.0000 62 7 0.1129
1800.0000 63 7 0.1111
1826.0000 64 7 0.1094
1852.0000 65 7 0.1077
1883.0000 66 7 0.1061
1908.0000 67 7 0.1045
1939.0000 68 7 0.1029
1966.0000 69 7 0.1014
1997.0000 70 7 0.1000
2027.0000 71 7 0.0986
2059.0000 72 7 0.0972
2088.0000 73 7 0.0959
2118.0000 74 7 0.0946
2146.0000 75 7 0.0933
2148.4000 75 8 0.1067
2171.0000 76 8 0.1053
2196.4000 76 9 0.1184
2204.0000 77 9 0.1169
2230.0000 78 9 0.1154
2251.6000 78 10 0.1282
2257.0000 79 10 0.1266
2287.0000 80 10 0.1250
2316.0000 81 10 0.1235
2346.0000 82 10 0.1220
2366.0000 82 11 0.1341
2371.0000 83 11 0.1325
2405.0000 84 11 0.1310
2431.0000 85 11 0.1294
2459.0000 86 11 0.1279
2490.0000 87 11 0.1264
2522.0000 88 11 0.1250
2543.3000 88 12 0.1364
2553.0000 89 12 0.1348
2560.7000 89 13 0.1461
2582.0000 90 13 0.1444
