# messageDelay  cumulativeProbability
27.4000 0.0007
30.6000 0.0014
36.6000 0.0021
64.3000 0.0027
64.9000 0.0034
101.9000 0.0041
105.3000 0.0048
108.7000 0.0055
143.6000 0.0062
161.7000 0.0068
197.7000 0.0075
197.9000 0.0082
237.4000 0.0089
319.1000 0.0096
319.6000 0.0103
320.3000 0.0109
345.4000 0.0116
395.3000 0.0123
395.4000 0.0130
406.9000 0.0137
432.9000 0.0144
450.7000 0.0150
471.8000 0.0157
483.5000 0.0164
502.6000 0.0171
524.8000 0.0178
528.3000 0.0185
535.6000 0.0191
539.9000 0.0198
570.1000 0.0205
602.3000 0.0212
628.6000 0.0219
688.4000 0.0226
714.4000 0.0232
775.1000 0.0239
779.0000 0.0246
840.4000 0.0253
849.6000 0.0260
893.0000 0.0267
918.4000 0.0273
924.2000 0.0280
968.6000 0.0287
976.2000 0.0294
992.2000 0.0301
1005.2000 0.0308
1045.2000 0.0314
1066.9000 0.0321
1071.4000 0.0328
1079.7000 0.0335
1081.0000 0.0342
1086.8000 0.0349
1137.9000 0.0355
1179.0000 0.0362
1212.4000 0.0369
1240.6000 0.0376
1246.4000 0.0383
1253.9000 0.0390
1257.4000 0.0396
1281.3000 0.0403
1292.0000 0.0410
1323.0000 0.0417
1364.2000 0.0424
1376.2000 0.0431
1395.1000 0.0437
1411.3000 0.0444
1420.1000 0.0451
1432.7000 0.0458
1463.1000 0.0465
1467.2000 0.0472
1482.7000 0.0478
1518.0000 0.0485
1522.6000 0.0492
1527.3000 0.0499
1558.8000 0.0506
1565.0000 0.0513
1567.9000 0.0519
1611.8000 0.0526
1631.2000 0.0533
1654.6000 0.0540
1668.5000 0.0547
1691.3000 0.0554
1695.6000 0.0560
1699.5000 0.0567
1708.2000 0.0574
1721.6000 0.0581
1728.0000 0.0588
1747.1000 0.0595
1800.6000 0.0602
1831.0000 0.0608
1840.9000 0.0615
1848.8000 0.0622
1868.0000 0.0629
1893.0000 0.0636
1900.0000 0.0643
1904.2000 0.0649
2029.8000 0.0656
2038.9000 0.0663
2046.0000 0.0670
2108.0000 0.0677
2108.5000 0.0684
2145.2000 0.0690
2148.3000 0.0697
2170.2000 0.0704
2171.2000 0.0711
2177.9000 0.0718
2191.1000 0.0725
2246.8000 0.0731
2293.9000 0.0738
2306.0000 0.0745
2334.9000 0.0752
2377.3000 0.0759
2391.0000 0.0766
2439.6000 0.0772
2461.0000 0.0779
2461.3000 0.0786
2461.9000 0.0793
2489.7000 0.0800
2503.8000 0.0807
2529.2000 0.0813
2541.3000 0.0820
2574.5000 0.0827
2579.8000 0.0834
2586.3000 0.0841
2599.3000 0.0848
2605.0000 0.0854
2622.1000 0.0861
2647.9000 0.0868
2647.9000 0.0875
2650.2000 0.0882
2671.0000 0.0889
